0.1,0.05,0.02,0.01,0.005,0.002,0.001
1,6.3138,12.7065,31.8193,63.6551,127.3447,318.4930,636.0450
2,2.9200,4.3026,6.9646,9.9247,14.0887,22.3276,31.5989
3,2.3534,3.1824,4.5407,5.8408,7.4534,10.2145,12.9242
4,2.1319,2.7764,3.7470,4.6041,5.5976,7.1732,8.6103
5,2.0150,2.5706,3.3650,4.0322,4.7734,5.8934,6.8688
6,1.9432,2.4469,3.1426,3.7074,4.3168,5.2076,5.9589
7,1.8946,2.3646,2.9980,3.4995,4.0294,4.7852,5.4079
8,1.8595,2.3060,2.8965,3.3554,3.8325,4.5008,5.0414
9,1.8331,2.2621,2.8214,3.2498,3.6896,4.2969,4.7809
10,1.8124,2.2282,2.7638,3.1693,3.5814,4.1437,4.5869
11,1.7959,2.2010,2.7181,3.1058,3.4966,4.0247,4.4369
12,1.7823,2.1788,2.6810,3.0545,3.4284,3.9296,4.3178
13,1.7709,2.1604,2.6503,3.0123,3.3725,3.8520,4.2208
14,1.7613,2.1448,2.6245,2.9768,3.3257,3.7874,4.1404
15,1.7530,2.1314,2.6025,2.9467,3.2860,3.7328,4.0728
16,1.7459,2.1199,2.5835,2.9208,3.2520,3.6861,4.0150
17,1.7396,2.1098,2.5669,2.8983,3.2224,3.6458,3.9651
18,1.7341,2.1009,2.5524,2.8784,3.1966,3.6105,3.9216
19,1.7291,2.0930,2.5395,2.8609,3.1737,3.5794,3.8834
20,1.7247,2.0860,2.5280,2.8454,3.1534,3.5518,3.8495
21,1.7207,2.0796,2.5176,2.8314,3.1352,3.5272,3.8193
22,1.7172,2.0739,2.5083,2.8188,3.1188,3.5050,3.7921
23,1.7139,2.0686,2.4998,2.8073,3.1040,3.4850,3.7676
24,1.7109,2.0639,2.4922,2.7970,3.0905,3.4668,3.7454
25,1.7081,2.0596,2.4851,2.7874,3.0782,3.4502,3.7251
26,1.7056,2.0555,2.4786,2.7787,3.0669,3.4350,3.7067
27,1.7033,2.0518,2.4727,2.7707,3.0565,3.4211,3.6896
28,1.7011,2.0484,2.4671,2.7633,3.0469,3.4082,3.6739
29,1.6991,2.0452,2.4620,2.7564,3.0380,3.3962,3.6594
30,1.6973,2.0423,2.4572,2.7500,3.0298,3.3852,3.6459
31,1.6955,2.0395,2.4528,2.7440,3.0221,3.3749,3.6334
32,1.6939,2.0369,2.4487,2.7385,3.0150,3.3653,3.6218
33,1.6924,2.0345,2.4448,2.7333,3.0082,3.3563,3.6109
34,1.6909,2.0322,2.4411,2.7284,3.0019,3.3479,3.6008
35,1.6896,2.0301,2.4377,2.7238,2.9961,3.3400,3.5912
36,1.6883,2.0281,2.4345,2.7195,2.9905,3.3326,3.5822
37,1.6871,2.0262,2.4315,2.7154,2.9853,3.3256,3.5737
38,1.6859,2.0244,2.4286,2.7115,2.9803,3.3190,3.5657
39,1.6849,2.0227,2.4258,2.7079,2.9756,3.3128,3.5581
40,1.6839,2.0211,2.4233,2.7045,2.9712,3.3069,3.5510
41,1.6829,2.0196,2.4208,2.7012,2.9670,3.3013,3.5442
42,1.6820,2.0181,2.4185,2.6981,2.9630,3.2959,3.5378
43,1.6811,2.0167,2.4162,2.6951,2.9591,3.2909,3.5316
44,1.6802,2.0154,2.4142,2.6923,2.9555,3.2861,3.5258
45,1.6794,2.0141,2.4121,2.6896,2.9521,3.2815,3.5202
46,1.6787,2.0129,2.4102,2.6870,2.9488,3.2771,3.5149
47,1.6779,2.0117,2.4083,2.6846,2.9456,3.2729,3.5099
48,1.6772,2.0106,2.4066,2.6822,2.9426,3.2689,3.5051
49,1.6766,2.0096,2.4049,2.6800,2.9397,3.2651,3.5004
50,1.6759,2.0086,2.4033,2.6778,2.9370,3.2614,3.4960
51,1.6753,2.0076,2.4017,2.6757,2.9343,3.2579,3.4917
52,1.6747,2.0066,2.4002,2.6737,2.9318,3.2545,3.4877
53,1.6741,2.0057,2.3988,2.6718,2.9293,3.2513,3.4838
54,1.6736,2.0049,2.3974,2.6700,2.9270,3.2482,3.4800
55,1.6730,2.0041,2.3961,2.6682,2.9247,3.2451,3.4764
56,1.6725,2.0032,2.3948,2.6665,2.9225,3.2423,3.4730
57,1.6720,2.0025,2.3936,2.6649,2.9204,3.2394,3.4696
58,1.6715,2.0017,2.3924,2.6633,2.9184,3.2368,3.4663
59,1.6711,2.0010,2.3912,2.6618,2.9164,3.2342,3.4632
60,1.6706,2.0003,2.3901,2.6603,2.9146,3.2317,3.4602
61,1.6702,1.9996,2.3890,2.6589,2.9127,3.2293,3.4573
62,1.6698,1.9990,2.3880,2.6575,2.9110,3.2269,3.4545
63,1.6694,1.9983,2.3870,2.6561,2.9092,3.2247,3.4518
64,1.6690,1.9977,2.3860,2.6549,2.9076,3.2225,3.4491
65,1.6686,1.9971,2.3851,2.6536,2.9060,3.2204,3.4466
66,1.6683,1.9966,2.3842,2.6524,2.9045,3.2184,3.4441
67,1.6679,1.9960,2.3833,2.6512,2.9030,3.2164,3.4417
68,1.6676,1.9955,2.3824,2.6501,2.9015,3.2144,3.4395
69,1.6673,1.9950,2.3816,2.6490,2.9001,3.2126,3.4372
70,1.6669,1.9944,2.3808,2.6479,2.8987,3.2108,3.4350
71,1.6666,1.9939,2.3800,2.6468,2.8974,3.2090,3.4329
72,1.6663,1.9935,2.3793,2.6459,2.8961,3.2073,3.4308
73,1.6660,1.9930,2.3785,2.6449,2.8948,3.2056,3.4288
74,1.6657,1.9925,2.3778,2.6439,2.8936,3.2040,3.4269
75,1.6654,1.9921,2.3771,2.6430,2.8925,3.2025,3.4250
76,1.6652,1.9917,2.3764,2.6421,2.8913,3.2010,3.4232
77,1.6649,1.9913,2.3758,2.6412,2.8902,3.1995,3.4214
78,1.6646,1.9909,2.3751,2.6404,2.8891,3.1980,3.4197
79,1.6644,1.9904,2.3745,2.6395,2.8880,3.1966,3.4180
80,1.6641,1.9901,2.3739,2.6387,2.8870,3.1953,3.4164
81,1.6639,1.9897,2.3733,2.6379,2.8859,3.1939,3.4147
82,1.6636,1.9893,2.3727,2.6371,2.8850,3.1926,3.4132
83,1.6634,1.9889,2.3721,2.6364,2.8840,3.1913,3.4117
84,1.6632,1.9886,2.3716,2.6356,2.8831,3.1901,3.4101
85,1.6630,1.9883,2.3710,2.6349,2.8821,3.1889,3.4087
86,1.6628,1.9879,2.3705,2.6342,2.8813,3.1877,3.4073
87,1.6626,1.9876,2.3700,2.6335,2.8804,3.1866,3.4059
88,1.6623,1.9873,2.3695,2.6328,2.8795,3.1854,3.4046
89,1.6622,1.9870,2.3690,2.6322,2.8787,3.1844,3.4032
90,1.6620,1.9867,2.3685,2.6316,2.8779,3.1833,3.4020
91,1.6618,1.9864,2.3680,2.6309,2.8771,3.1822,3.4006
92,1.6616,1.9861,2.3676,2.6303,2.8763,3.1812,3.3995
93,1.6614,1.9858,2.3671,2.6297,2.8755,3.1802,3.3982
94,1.6612,1.9855,2.3667,2.6292,2.8748,3.1792,3.3970
95,1.6610,1.9852,2.3662,2.6286,2.8741,3.1782,3.3959
96,1.6609,1.9850,2.3658,2.6280,2.8734,3.1773,3.3947
97,1.6607,1.9847,2.3654,2.6275,2.8727,3.1764,3.3936
98,1.6606,1.9845,2.3650,2.6269,2.8720,3.1755,3.3926
99,1.6604,1.9842,2.3646,2.6264,2.8713,3.1746,3.3915
100,1.6602,1.9840,2.3642,2.6259,2.8706,3.1738,3.3905
